t, S, E, I, Q, R
0, 999.000000, 1.000000, 0.000000, 0.000000, 0.000000
1, 996.987976, 2.012000, 0.422000, 0.314000, 0.264000
2, 992.150024, 4.838000, 0.932000, 0.970000, 1.110000
3, 980.366028, 11.784000, 2.372000, 2.276000, 3.202000
4, 954.578003, 25.788000, 5.728000, 5.854000, 8.052000
5, 906.158020, 48.419998, 12.730000, 13.360000, 19.332001
6, 835.304016, 70.853996, 25.430000, 26.774000, 41.638000
7, 763.690002, 71.613998, 39.849998, 46.161999, 78.683998
8, 711.182007, 52.507999, 47.467999, 63.223999, 125.617996
9, 680.351990, 30.830000, 43.846001, 70.608002, 174.363998
10, 663.752014, 16.600000, 33.462002, 67.636002, 218.550003
11, 654.820007, 8.932000, 22.934000, 58.948002, 254.365997
12, 650.237976, 4.582000, 14.526000, 49.057999, 281.596008
13, 648.117981, 2.120000, 8.924000, 38.750000, 302.088013
14, 647.033997, 1.084000, 5.242000, 29.790001, 316.850006
15, 646.398010, 0.636000, 3.184000, 22.167999, 327.614014
16, 646.143982, 0.254000, 1.816000, 16.430000, 335.355988
17, 645.940002, 0.204000, 1.002000, 11.846000, 341.007996
18, 645.859985, 0.080000, 0.540000, 8.536000, 344.984009
19, 645.789978, 0.070000, 0.302000, 6.174000, 347.664001
20, 645.755981, 0.034000, 0.204000, 4.456000, 349.549988
21, 645.736023, 0.020000, 0.136000, 3.216000, 350.891998
22, 645.729980, 0.006000, 0.074000, 2.252000, 351.937988
23, 645.721985, 0.008000, 0.040000, 1.622000, 352.608002
24, 645.719971, 0.002000, 0.020000, 1.156000, 353.101990
